deal_id,as_of_date,as_of_date_provisional,loan_id,loan_id_source,loan_identifier,sector,moodys_industry,current_balance,weight,rating,sp_issuer_rating,rating_for_pd,rating_for_pd_source,market_price,price_source,coupon_type,coupon_rate_pct,coupon_spread_bps,coupon_floor,reference_rate,discount_margin_bps,dm_source,maturity_date,maturity_years_provisional,maturity_years,annual_pd,annual_cpr,lgd,lgd_source,lgd_base,default_status,default_date,covenant_lite,country,source_family
ARES_2023_68A,,2026-05-31,01862LBA5,CUSIP,"Alliance Laundry Systems, LLC | Term Loan (1/25)",Machinery,Capital Equipment,697341.8,0.001417186267089464,B+,B+,B+,SP_ISSUER,100.375,BBG_LAST_PRICE,FLT,5.9022,225.0,0.0,0.0365621,225.0,PAR_DM_APPROX_EQ_SPREAD,2031-08-19,5.2183,5.2183,,,0.45,1_MINUS_SP_RECOVERY_RATE,,No,,Yes,US,bloomberg_clo
ARES_2023_68A,,2026-05-31,10620UAM4,CUSIP,"Brazos Delaware II, LLC | Term Loan","Oil, Gas & Consumable Fuels",Energy: Oil & Gas,687785.6,0.0013977654960908514,B+,B+,B+,SP_ISSUER,100.125,BBG_LAST_PRICE,FLT,6.1518,250.0,0.005,0.0365621,250.0,PAR_DM_APPROX_EQ_SPREAD,2030-02-11,3.7016,3.7016,,,0.6,1_MINUS_SP_RECOVERY_RATE,,No,,Yes,US,bloomberg_clo
ARES_2023_68A,,2026-05-31,82670NAG1,CUSIP,"Signia Aerospace, LLC | Term Loan (07/25)",Aerospace & Defense,Aerospace & Defense,686051.16,0.0013942406470869762,B,B,B,SP_ISSUER,100.5,BBG_LAST_PRICE,FLT,6.4227,275.0,0.005,0.0365621,275.0,PAR_DM_APPROX_EQ_SPREAD,2031-12-11,5.5305,5.5305,,,0.65,1_MINUS_SP_RECOVERY_RATE,,No,,Yes,US,bloomberg_clo
ARES_2023_68A,,2026-05-31,92346NAH2,CUSIP,"VeriFone Systems, Inc. | Term Loan (03/25)",Commercial Services & Supplies,Services: Business,667420.82,0.0013563787807838123,B-,B-,B-,SP_ISSUER,94.188,BBG_LAST_PRICE,FLT,9.175,525.0,0.0,0.0365621,525.0,PAR_DM_APPROX_EQ_SPREAD,2028-08-18,2.2177,2.2177,,,0.7,1_MINUS_SP_RECOVERY_RATE,,No,, ,US,bloomberg_clo
ARES_2023_68A,,2026-05-31,03234TBB3,CUSIP,"AmWINS Group, Inc. | TERM LOAN B",Insurance,"Banking, Finance, Insurance & Real Estate",665284.89,0.001352037996015906,B+,B+,B+,SP_ISSUER,98.813,BBG_LAST_PRICE,FLT,5.6522,200.0,0.0075,0.0365621,200.0,PAR_DM_APPROX_EQ_SPREAD,2032-01-30,5.6674,5.6674,,,0.7,1_MINUS_SP_RECOVERY_RATE,,No,,Yes,US,bloomberg_clo
ARES_2023_68A,,2026-05-31,50218KAN8,CUSIP,"Life Time, Inc. | 2025 Refinancing Term Loan","Hotels, Restaurants & Leisure","Hotel, Gaming & Leisure",664238.55,0.0013499115514535602,BB-,BB-,BB-,SP_ISSUER,100.313,BBG_LAST_PRICE,FLT,5.6464,200.0,0.0,0.0365621,200.0,PAR_DM_APPROX_EQ_SPREAD,2031-11-05,5.4319,5.4319,,,0.3,1_MINUS_SP_RECOVERY_RATE,,No,,Yes,US,bloomberg_clo
ARES_2023_68A,,2026-05-31,51207KAB5,CUSIP,"Lakeshore Learning Materials, LLC | Term Loan 9/21",Professional Services,Services: Business,660910.63,0.0013431483221132677,B-,B-,B-,SP_ISSUER,85.75,BBG_LAST_PRICE,FLT,7.4612,350.0,0.005,0.0365621,350.0,PAR_DM_APPROX_EQ_SPREAD,2028-09-29,2.3326,2.3326,,,0.73,1_MINUS_SP_RECOVERY_RATE,,No,,Yes,US,bloomberg_clo
ARES_2023_68A,,2026-05-31,75908HAC1,CUSIP,Resilience Parent LLC | Term Loan B,Energy Equipment & Services,Capital Equipment,650650.65,0.0013222972806919554,B,B,B,SP_ISSUER,100.25,BBG_LAST_PRICE,FLT,6.1261,250.0,0.0,0.0365621,250.0,PAR_DM_APPROX_EQ_SPREAD,2033-02-28,6.7488,6.7488,,,0.55,1_MINUS_SP_RECOVERY_RATE,,No,, ,US,bloomberg_clo
ARES_2023_68A,,2026-05-31,N3430BAN4,CUSIP,Fugue Finance LLC | Term Loan B,Professional Services,Services: Business,648395.27,0.0013177137413672394,B,B,B,SP_ISSUER,99.875,BBG_LAST_PRICE,FLT,5.9211,225.0,0.005,0.0365621,225.0,PAR_DM_APPROX_EQ_SPREAD,2032-01-09,5.6099,5.6099,,,0.6,1_MINUS_SP_RECOVERY_RATE,,No,,Yes,US,bloomberg_clo
ARES_2023_68A,,2026-05-31,54913EAB8,CUSIP,LSF12 HELIX PARENT LLC | Hillenbrand 1/26 (USD) Cov-Lite,"Electronic Equipment, Instruments & Components",Capital Equipment,647835.56,0.0013165762599692326,B,B,B,SP_ISSUER,98.563,BBG_LAST_PRICE,FLT,7.1522,350.0,0.0,0.0365621,350.0,PAR_DM_APPROX_EQ_SPREAD,2033-02-10,6.6995,6.6995,,,0.7,1_MINUS_SP_RECOVERY_RATE,,No,,Yes,US,bloomberg_clo
ARES_2023_68A,,2026-05-31,G3679YAM4,CUSIP,Froneri International Ltd | Term Loan (7/25),Consumer Staples Distribution & Retail,"Beverage, Food & Tobacco",641120.46,0.0013029293690154239,BB-,BB-,BB-,SP_ISSUER,99.5,BBG_LAST_PRICE,FLT,6.1273,250.0,0.0,0.0365621,250.0,PAR_DM_APPROX_EQ_SPREAD,2032-09-30,6.3354,6.3354,,,0.65,1_MINUS_SP_RECOVERY_RATE,,No,, ,US,bloomberg_clo
ARES_2023_68A,,2026-05-31,38723BAM3,CUSIP,WIN Waste Innovations Holdings Inc. | Win Waste/Waste Innovations 10/25 Cov-Lite TL,Energy Equipment & Services,Energy: Electricity,640170.56,0.0013009989164954284,B-,B-,B-,SP_ISSUER,100.563,BBG_LAST_PRICE,FLT,7.0167,325.0,0.0,0.0365621,325.0,PAR_DM_APPROX_EQ_SPREAD,2028-03-24,1.8152,1.8152,,,0.55,1_MINUS_SP_RECOVERY_RATE,,No,,Yes,US,bloomberg_clo
ARES_2023_68A,,2026-05-31,629377CR1,CUSIP,"NRG Energy, Inc. | NRG 3.625% 2/15/2031",Electric Utilities,Utilities: Electric,640000.0,0.0013006522926594347,BB,BB,BB,SP_ISSUER,92.895,BBG_LAST_PRICE,FXD,3.625,0.0,0.03625,0.0365621,0.0,PAR_DM_APPROX_EQ_SPREAD,2031-02-15,4.7118,4.7118,,,0.8,1_MINUS_SP_RECOVERY_RATE,,No,, ,US,bloomberg_clo
ARES_2023_68A,,2026-05-31,C8000CAP8,CUSIP,Clarios Global LP | Term Loan B (01/25),Automobiles,Automotive,638696.62,0.0012980034736200495,BB-,BB-,BB-,SP_ISSUER,99.9176,PROXY_RATING_COHORT_WA,FLT,6.4022,275.0,0.0,0.0365621,275.0,PAR_DM_APPROX_EQ_SPREAD,2032-01-28,5.6619,5.6619,,,0.7,1_MINUS_SP_RECOVERY_RATE,,No,,Yes,US,bloomberg_clo
ARES_2023_68A,,2026-05-31,24369TAD3,CUSIP,DEEP BLUE OPERATING I LLC | Term Loan,Energy Equipment & Services,Energy: Oil & Gas,635000.0,0.0012904909466230328,BB-,BB-,BB-,SP_ISSUER,99.9176,PROXY_RATING_COHORT_WA,FLT,6.4107,275.0,0.0,0.0365621,275.0,PAR_DM_APPROX_EQ_SPREAD,2032-10-01,6.3381,6.3381,,,0.55,1_MINUS_SP_RECOVERY_RATE,,No,, ,US,bloomberg_clo
ARES_2023_68A,,2026-05-31,01881UAN5,CUSIP,Alliant Holdings Intermediate LLC | Term Loan (8/25),Capital Markets,"Banking, Finance, Insurance & Real Estate",634736.63,0.0012899557078819115,B,B,B,SP_ISSUER,99.479,BBG_LAST_PRICE,FLT,6.1522,250.0,0.0,0.0365621,250.0,PAR_DM_APPROX_EQ_SPREAD,2031-09-19,5.3032,5.3032,,,0.6,1_MINUS_SP_RECOVERY_RATE,,No,,Yes,US,bloomberg_clo
ARES_2023_68A,,2026-05-31,12620SAD5,CUSIP,"CPV Fairview, LLC | Term Loan",Electric Utilities,Utilities: Electric,634520.44,0.0012895163516019894,B+,,B+,SP_ISSUE_FALLBACK,100.188,BBG_LAST_PRICE,FLT,6.1996,250.0,0.0,0.0365621,250.0,PAR_DM_APPROX_EQ_SPREAD,2031-08-14,5.2047,5.2047,,,0.25,1_MINUS_SP_RECOVERY_RATE,,No,, ,US,bloomberg_clo
ARES_2023_68A,,2026-05-31,74773KAE5,CUSIP,"QUARTZ ACQUIRECO, LLC | Term Loan (2/25)",,High Tech Industries,631667.18,0.0012837177591636247,B,B,B,SP_ISSUER,84.063,BBG_LAST_PRICE,FLT,5.9496,225.0,0.0,0.0365621,225.0,PAR_DM_APPROX_EQ_SPREAD,2030-06-28,4.0767,4.0767,,,0.7,1_MINUS_SP_RECOVERY_RATE,,No,,Yes,US,bloomberg_clo
ARES_2023_68A,,2026-05-31,46124CAS6,CUSIP,Alterra Mountain Company | Term Loan B8 (07/25),Leisure Products,"Hotel, Gaming & Leisure",630913.12,0.0012821853062451828,B+,B+,B+,SP_ISSUER,100.375,BBG_LAST_PRICE,FLT,6.1522,250.0,0.0,0.0365621,250.0,PAR_DM_APPROX_EQ_SPREAD,2030-05-31,4.0,4.0,,,0.7,1_MINUS_SP_RECOVERY_RATE,,No,, ,US,bloomberg_clo
ARES_2023_68A,,2026-05-31,03027XBJ8,CUSIP,American Tower Corp | AMERICAN TOWER   1.5%   1/31/2028,Mortgage Real Estate Investment Trusts (REITs),"Banking, Finance, Insurance & Real Estate",628000.0,0.0012762650621720702,BBB+,BBB+,BBB+,SP_ISSUER,95.436,BBG_LAST_PRICE,FXD,1.5,0.0,0.015,0.0365621,0.0,PAR_DM_APPROX_EQ_SPREAD,2028-01-31,1.6701,1.6701,,,0.82,1_MINUS_SP_RECOVERY_RATE,,No,, ,US,bloomberg_clo
ARES_2023_68A,,2026-05-31,291011BR4,CUSIP,Emerson Electric Co | EMERSON ELECTRIC 2.2% 12/21/2031,Electric Utilities,Utilities: Electric,625000.0,0.001270168254550229,A,A,A,SP_ISSUER,88.713,BBG_LAST_PRICE,FXD,2.2,0.0,0.022,0.0365621,0.0,PAR_DM_APPROX_EQ_SPREAD,2031-12-21,5.5578,5.5578,,,0.82,1_MINUS_SP_RECOVERY_RATE,,No,, ,US,bloomberg_clo
ARES_2023_68A,,2026-05-31,74142YAC3,CUSIP,"Pretzel Parent, Inc. | Term Loan B",Leisure Products,"Hotel, Gaming & Leisure",622565.28,0.0012652202480658795,B,B,B,SP_ISSUER,95.75,BBG_LAST_PRICE,FLT,8.1522,450.0,0.0,0.0365621,450.0,PAR_DM_APPROX_EQ_SPREAD,2031-10-01,5.3361,5.3361,,,0.6,1_MINUS_SP_RECOVERY_RATE,,No,, ,US,bloomberg_clo
ARES_2023_68A,,2026-05-31,55759VAE8,CUSIP,Madison IAQ LLC | Term Loan restructure,Construction & Engineering,Environmental Industries,613676.32,0.0012471554883731325,BB-,BB-,BB-,SP_ISSUER,100.313,BBG_LAST_PRICE,FLT,6.3776,275.0,0.005,0.0365621,275.0,PAR_DM_APPROX_EQ_SPREAD,2032-11-08,6.4422,6.4422,,,0.45,1_MINUS_SP_RECOVERY_RATE,,No,, ,US,bloomberg_clo
ARES_2023_68A,,2026-05-31,92528PAB0,CUSIP,"Versant Media Group, Inc. | Term Loan B (01/26)",Media,Media: Broadcasting & Subscription,610823.75,0.0012413582982005208,BB,BB,BB,SP_ISSUER,100.625,BBG_LAST_PRICE,FLT,7.1996,350.0,0.0,0.0365621,350.0,PAR_DM_APPROX_EQ_SPREAD,2031-01-30,4.668,4.668,,,0.65,1_MINUS_SP_RECOVERY_RATE,,No,,Yes,US,bloomberg_clo
ARES_2023_68A,,2026-05-31,68373AAD5,CUSIP,"OPENLANE, Inc. | Term Loan B (10/25)",Automobile Components,Automotive,610288.63,0.0012402707903023211,B,B,B,SP_ISSUER,100.5,BBG_LAST_PRICE,FLT,6.1399,250.0,0.0,0.0365621,250.0,PAR_DM_APPROX_EQ_SPREAD,2032-10-08,6.3573,6.3573,,,0.6,1_MINUS_SP_RECOVERY_RATE,,No,, ,US,bloomberg_clo
ARES_2023_68A,,2026-05-31,12021GAH7,CUSIP,Bulldog Purchaser Inc. | Term Loan,"Hotels, Restaurants & Leisure","Hotel, Gaming & Leisure",608475.0,0.001236585005899921,B,B,B,SP_ISSUER,100.313,BBG_LAST_PRICE,FLT,6.9134,325.0,0.0,0.0365621,325.0,PAR_DM_APPROX_EQ_SPREAD,2033-01-28,6.6639,6.6639,,,0.6,1_MINUS_SP_RECOVERY_RATE,,No,,Yes,US,bloomberg_clo
ARES_2023_68A,,2026-05-31,02406MBB2,CUSIP,"American Axle & Manufacturing, Inc. | Term Loan C (2/25)",Automobile Components,Automotive,603900.0,0.0012272873742766135,BB-,BB-,BB-,SP_ISSUER,100.0,BBG_LAST_PRICE,FLT,7.0121,325.0,0.0,0.0365621,325.0,PAR_DM_APPROX_EQ_SPREAD,2033-02-03,6.6804,6.6804,,,0.5,1_MINUS_SP_RECOVERY_RATE,,No,, ,US,bloomberg_clo
ARES_2023_68A,,2026-05-31,93710RAB2,CUSIP,Wash Bidco Inc. | Wash Multifamily 8/25 TLB,Diversified Consumer Services,Services: Consumer,601875.0,0.0012231720291318708,B+,B+,B+,SP_ISSUER,100.375,BBG_LAST_PRICE,FLT,6.9022,325.0,0.0,0.0365621,325.0,PAR_DM_APPROX_EQ_SPREAD,2032-09-10,6.2806,6.2806,,,0.5,1_MINUS_SP_RECOVERY_RATE,,No,, ,US,bloomberg_clo
ARES_2023_68A,,2026-05-31,76090LAM6,CUSIP,Resideo Funding Inc. | Term Loan (8/25),"Electronic Equipment, Instruments & Components",Wholesale,598580.77,0.0012164772669411715,BB,BB+,BB+,SP_ISSUER,100.188,BBG_LAST_PRICE,FLT,5.674,200.0,0.0,0.0365621,200.0,PAR_DM_APPROX_EQ_SPREAD,2032-08-13,6.204,6.204,,,0.37,1_MINUS_SP_RECOVERY_RATE,,No,,Yes,US,bloomberg_clo
ARES_2023_68A,,2026-05-31,44332EAZ9,CUSIP,HUB International Limited | Term Loan B (1/25),Insurance,"Banking, Finance, Insurance & Real Estate",591182.14,0.0012014412590161108,B+,B+,B+,SP_ISSUER,100.125,BBG_LAST_PRICE,FLT,5.9221,225.0,0.0,0.0365621,225.0,PAR_DM_APPROX_EQ_SPREAD,2030-06-20,4.0548,4.0548,,,0.7,1_MINUS_SP_RECOVERY_RATE,,No,,Yes,US,bloomberg_clo
ARES_2023_68A,,2026-05-31,88037HAP9,CUSIP,Tenneco Inc. | Term Loan B,Automobile Components,Automotive,589743.61,0.0011985177787933617,B,B,B,SP_ISSUER,99.938,BBG_LAST_PRICE,FLT,8.7996,500.0,0.005,0.0365621,500.0,PAR_DM_APPROX_EQ_SPREAD,2028-11-17,2.4668,2.4668,,,0.7,1_MINUS_SP_RECOVERY_RATE,,No,,Yes,US,bloomberg_clo
ARES_2023_68A,,2026-05-31,46647PDW3,CUSIP,J.P. Morgan Chase & Co | JPMORGAN CHASE VARIABLE 10/22/2027,Capital Markets,"Banking, Finance, Insurance & Real Estate",589000.0,0.001197006563088136,A,A,A,SP_ISSUER,100.596,BBG_LAST_PRICE,FXD,6.07,0.0,0.0607,0.0365621,0.0,PAR_DM_APPROX_EQ_SPREAD,2027-10-22,1.3936,1.3936,,,0.82,1_MINUS_SP_RECOVERY_RATE,,No,, ,US,bloomberg_clo
ARES_2023_68A,,2026-05-31,48254EAG6,CUSIP,"KKR Apple Bidco, LLC | Term Loan (02/25)",Air Freight & Logistics,Aerospace & Defense,575424.64,0.0011694177769823904,B,B,B,SP_ISSUER,100.25,BBG_LAST_PRICE,FLT,6.1522,250.0,0.0,0.0365621,250.0,PAR_DM_APPROX_EQ_SPREAD,2031-09-22,5.3114,5.3114,,,0.65,1_MINUS_SP_RECOVERY_RATE,,No,,Yes,US,bloomberg_clo
