Groups,Issuer,Current Balance,Equity Holding Shares,Bloomberg FIGI,CUSIP,Security Name,Last Price,Seniority,Lien Priority,Is Covenant Lite,Funded Amount,Payment Frequency,Coupon Type,Day Count,Margin,Coupon,Index Floor Rate,Commitment Fee Rate,Maturity Date,Moody's Issuer Rating,Moody's Reported Rating,Moody's Credit Watch,S&P Issuer Rating,S&P Reported Rating,S&P Credit Watch,Fitch Issuer Rating,Fitch Reported Rating,Moody's Industry Classification,S&P Industry,Fitch Industry,Moody's Recovery Rate,S&P Recovery Rate,Country,Index Spread Adjustment,Aggregate Par Amount Issued,Commitment Amount,Cumulative Capitalized Amount,Currency,Current Par Value,Default Date,Default Status,Expected Maturity Date,Factor,Fitch Country Rating,Fitch Current Rating,Fitch Industry Code,Fitch Recovery Rate,LGD,pd_bucket,pd_rating_source,pd_rating_used,pd_years_to_horizon,PD,price_source
0,"Access CIG, LLC",286827.79,,BBG01WMCP303,00435CAV0,Term Loan B (09/25),90.438,SNSE,1.0,Yes,,4.0,FLT,ACTUAL_360,4.0,7.6996,0.5,,08/19/2030,B3,B3,CWNT,B,B,CWNT,,B-,Services: Business,Professional Services,Business Services General,,0.3,US,,3277359595.29,,,USD,286827.79,,No,,,AAA,,28,,0.7,B,issuer,B,4.221917808219178,0.1293931506849315,reported
0,"PerForce Software, Inc.",282176.59,,BBG01LY2SNH1,71376GAJ0,Fifth Incrementral Term Loan (03/24),52.188,SNSE,1.0, ,,12.0,FLT,ACTUAL_360,4.75,8.4022,0.5,,03/21/2031,B3,B3,CWNT,B-,B-,CWNT,,B-,High Tech Industries,Software,Technology Software,,0.35,US,,2599239413.02,,,USD,282176.59,,No,,,AAA,,2,,0.65,B-,issuer,B-,4.808219178082192,0.2151602739726027,reported
0,"Zodiac Purchaser, L.L.C.",275078.98,,BBG01R4XZZT5,98980XAC9,Term Loan (12/24),93.563,SNSE,1.0,Yes,,12.0,FLT,ACTUAL_360,3.5,7.1522,0.0,,02/16/2032,B3,B3,CWNT,B,B,CWNT,,B-,High Tech Industries,Software,Technology Software,,0.3,US,,843625000.0,,,USD,275078.98,,No,,,AAA,,2,,0.7,B,issuer,B,5.717808219178083,0.1613279452054794,reported
0,"Dynasty Acquisition Co., Inc.",272111.11,,BBG01QG113Q5,26812CAP1,Term Loan  B-2 (10/24),100.375,SNSE,1.0, ,,12.0,FLT,ACTUAL_360,2.0,5.6522,0.0,,10/31/2031,Ba3,Ba3,CWNT,BB-,BB-,CWNT,,BB+,Aerospace & Defense,Aerospace & Defense,Aerospace & Defense,,0.35,US,,2731875001.0,,,USD,272111.11,,No,,,AAA,BBB-,6,,0.65,BB-,issuer,BB-,5.421917808219178,0.0897194520547945,reported
0,"Zelis Cost Management Buyer, Inc.",264559.53,,BBG01KWN3N04,98932TAG8,Term Loan B 2,98.313,SNSE,1.0,Yes,,12.0,FLT,ACTUAL_360,2.75,6.4022,0.0,,09/28/2029,B2,B2,CWNT,B,B,CWNT,,B,Services: Business,Health Care Providers & Services,Healthcare Providers,,0.3,US,,2138421865.58,,,USD,264559.53,,No,,,AAA,,22,,0.7,B,issuer,B,3.331506849315069,0.1059495890410958,reported
0,"PFI Lower Midco, LLC",263935.79,,BBG01YC2LKT7,71706PAB8,Term Loan,100.625,SNSE,1.0,Yes,,12.0,FLT,ACTUAL_360,4.0,7.6522,0.0,,12/01/2032,B2,B2,CWNT,B,B,CWNT,,B,"Beverage, Food & Tobacco",Consumer Staples Distribution & Retail,"Food, Beverage & Tobacco",,0.45,US,,773062500.0,,,USD,263935.79,,No,,,AAA,,17,,0.55,B,issuer,B,6.50958904109589,0.1741342465753424,reported
0,Berlin Packaging L.L.C.,259912.3,,BBG01W91NPS5,08511LBD9,Term Loan (07/25),99.5,SNSE,1.0,Yes,,4.0,FLT,ACTUAL_360,3.25,6.9496,0.0,,06/07/2031,B3,B2,CWNT,B-,B-,CWNT,,B-,"Containers, Packaging & Glass",Containers & Packaging,Packaging & Containers,,0.4,US,,2618603875.0,,,USD,259912.3,,No,,,AAA,,12,,0.6,B-,issuer,B-,5.021917808219178,0.2207120547945205,reported
0,BAE Systems Finance Inc,251000.0,,BBG00004GX28,11041RAL2,BRIT AERO FIN 7.5% 7/01/2027,103.338,SNUN,, ,,2.0,FXD,30_360,,7.5,,,07/01/2027,,A3,CWNT,A-,A-,CWNT,,A-,Aerospace & Defense,Aerospace & Defense,Aerospace & Defense,,0.18,US,,,,,USD,251000.0,,No,,,AAA,A-,6,,0.8200000000000001,A-,issuer,A-,1.084931506849315,0.0005764383561643,reported
0,"Asurion, LLC",250000.0,,BBG01VC372T7,04649VBE9,Term Loan B13,100.125,SNSE,1.0,Yes,,12.0,FLT,ACTUAL_360,4.25,7.9022,0.0,,09/19/2030,B1,Ba3,CWNT,B+,B+,CWNT,,B+,"Banking, Finance, Insurance & Real Estate",Insurance,Banking & Finance,,0.5,US,,8488972407.04,,,USD,250000.0,,No,,,AAA,,27,,0.5,B+,issuer,B+,4.306849315068493,0.1138279452054794,reported
0,Honeywell International Inc,250000.0,,BBG00PVN4KV6,438516BU9,HONEYWELL INTL   2.7%   8/15/2029,94.927,SNUN,, ,,2.0,FXD,30_360,,2.7,,,08/15/2029,,A2,CWN,A,A,CWNT,,A,High Tech Industries,Industrial Conglomerates,Industrial/Manufacturing,,0.18,US,,,,,USD,250000.0,,No,,,AAA,A,10,,0.8200000000000001,A,issuer,A,3.210958904109589,0.0020898630136986,reported
0,Thermo Fisher Scientific Inc.,250000.0,,BBG0122ZBB07,883556CL4,THERMO FISHER 2% 10/15/2031,88.129,SNUN,, ,,2.0,FXD,30_360,,2.0,,,10/15/2031,,A2,CWNT,A-,A-,CWNT,,A-,Healthcare & Pharmaceuticals,Life Sciences Tools & Services,Pharmaceuticals,,0.18,US,,,,,USD,250000.0,,No,,,AAA,A-,24,,0.8200000000000001,A-,issuer,A-,5.3780821917808215,0.004691506849315,reported
0,"PEPSICO, INC.",250000.0,,BBG012VD9127,713448FE3,PepsiCo Inc   1.95%   10/21/31,88.098,SNUN,, ,,2.0,FXD,30_360,,1.95,,,10/21/2031,,A1,CWNT,,A+,CWNT,,A+,"Beverage, Food & Tobacco",Beverages,"Food, Beverage & Tobacco",,0.18,US,,,,,USD,250000.0,,No,,,AAA,,17,,0.8200000000000001,A+,issue_fallback,A+,5.394520547945206,0.0038156164383561,reported
0,"Clearwater Analytics, LLC",248750.0,,BBG01RQV9WX6,18512EAF9,Term Loan B,99.813,SNSE,1.0, ,,12.0,FLT,ACTUAL_360,2.0,5.6523,0.0,,04/21/2032,B1,B1,CWNT,BB-,BB-,CWNT,,B+,High Tech Industries,Software,Technology Software,,0.3,US,,826000000.0,,,USD,248750.0,,No,,,AAA,,2,,0.7,BB-,issuer,BB-,5.895890410958904,0.097492602739726,reported
0,"GIH Borrower, LLC",246875.0,,BBG01QXN9TV7,36173YAB6,Term Loan B (11/24),100.125,SNSE,1.0, ,,4.0,FLT,ACTUAL_360,2.5,6.1996,0.0,,11/26/2031,,Ba2,,,CCC-,,,,"Banking, Finance, Insurance & Real Estate",Financial Services,Banking & Finance,,0.24,US,,2100312500.0,,,USD,246875.0,,No,,,AAA,,27,,0.76,CCC/C,issue_fallback,CCC/C,5.493150684931507,0.4704287671232877,reported
